Site,Super Buoy,Super Buoy,Super Buoy,Super Buoy,Super Buoy,Super Buoy,Super Buoy,Super Buoy,Super Buoy,Super Buoy,Super Buoy,Super Buoy,Super Buoy,Super Buoy,Super Buoy,Super Buoy,Super Buoy,Super Buoy,Super Buoy,Super Buoy,Super Buoy,Super Buoy,Super Buoy,Super Buoy,Super Buoy,Super Buoy,Super Buoy,Super Buoy,Super Buoy,Super Buoy,Super Buoy,Super Buoy,Super Buoy,Super Buoy,Super Buoy,Super Buoy,Super Buoy,Super Buoy,Super Buoy,Super Buoy,Super Buoy,Super Buoy,Super Buoy,Super Buoy,Super Buoy,Super Buoy,Super Buoy,Super Buoy,Super Buoy
Time America/Regina UTC-06:00,Temp00,Temp01,Temp02,Temp03,Temp04,Temp05,Underwater PAR,Underwater PAR,Atmospheric PAR,ATM_Carbon Dioxide,ATM_Temperature,Deep_Temperature,Deep_Sp Cond,Deep_pH,Deep_Turbidity,Deep_Chlorophyll RFU,Deep_BGA-Phycocyanin RFU,Deep_ODOSat,Deep_ODO,Deep_FDOM RFU,Deep_ORP,Shallow_Temperature,Shallow_Sp Cond,Shallow_pH,Shallow_Turbidity,Shallow_Chlorophyll RFU,Shallow_BGA-Phycocyanin RFU,Shallow_ODOSat,Shallow_ODO,Shallow_FDOM RFU,Shallow_ORP,Air Temperature,Barometric Pressure,Abs Humidity,Relative Humidity,Air Density,Wind Speed,Wind Gust,Wind Direction,Rain Intensity,Total Rain,CO2 [2] ,CO2 [2] Carbon Dioxide,CO2 [2] Temperature,CO2 [2] Total Gas Pressure,CO2 [1] ,CO2 [1] Carbon Dioxide,CO2 [1] Temperature,CO2 [1] Total Gas Pressure
,C,C,C,C,C,C,umol/s/m2,umol/s/m2,umol/s/m2,ppm,C,C,uS/cm,,NTU,RFU,RFU,%,mg/L,RFU,mV,C,uS/cm,,NTU,RFU,RFU,%,mg/L,RFU,mV,C,hPa,g/m3,%,Kg/m3,m/s,m/s,Deg,mm/h,mm,ppmv,mg/L,C,mBar,ppmv,mg/L,C,mBar
Depth (m),0.4,0.8,1.6,2.5,2.9,3.6,1.14,0.4,0.84,1.4,1.4,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2.8,2.8,2.8,2.8,1.6,1.6,1.6,1.6
07-01-2022 00:00:00,20.21,20.25,20.26,20.24,20.25,20.19,12,-5,-2,376.2,11.5,20.28,520,8.39,3.81,2.2,0.8,91.7,8.28,8.3,224,,,,,,,,,,,16.7,956.1,9.35,65,1.1,2.4,2.7,221,0,0,583.7,0.94,20.7,961.1,536.9,0.82,22.4,962.9
07-01-2022 00:10:00,20.17,20.25,20.24,20.23,20.24,20.18,12,-5,-2,368.4,11.01,20.28,520,8.35,3.3,2.3,0.8,93.4,8.44,8.3,227,,,,,,,,,,,16.8,956.1,8.99,62,1.1,1.5,1.7,264,0,0,605.7,0.97,20.7,960.8,541.3,0.83,22.4,962.6
07-01-2022 00:20:00,20.19,20.24,20.23,20.2,20.23,20.17,12,-5,-2,370.6,10.69,20.25,520,8.43,3.4,2.3,0.8,93.8,8.48,8.3,223,,,,,,,,,,,16.1,956.1,9.39,68,1.2,1.9,2.5,267,0,0,601.6,0.96,20.7,960.7,568.4,0.87,22.4,962.3
07-01-2022 00:30:00,20.16,20.22,20.23,20.21,20.22,20.17,12,-5,-2,374.9,10.53,20.25,520,8.35,3.43,2.3,0.7,93.6,8.45,8.3,228,,,,,,,,,,,16.2,956.1,9.56,69,1.2,1.7,2.4,286,0,0,601.8,0.96,20.7,960.4,567.5,0.87,22.4,962.1
07-01-2022 00:40:00,20.18,20.22,20.22,20.2,20.22,20.16,12,-5,-2,368.5,10.43,20.25,520,8.34,3.75,2.3,0.7,91.6,8.28,8.3,229,,,,,,,,,,,16.1,956.1,9.45,68,1.2,2,2.3,288,0,0,611.3,0.98,20.7,960.3,546.9,0.84,22.4,961.9
07-01-2022 00:50:00,20.17,20.22,20.22,20.2,20.21,20.15,12,-5,-2,368.1,10.47,20.25,520,8.36,3.35,2.2,0.8,92.3,8.34,8.3,227,,,,,,,,,,,16.3,956.1,9.53,68,1.2,2.1,2.5,288,0,0,615.7,0.99,20.7,959.9,552.2,0.84,22.4,961.5
07-01-2022 01:00:00,20.16,20.22,20.22,20.19,20.21,20.15,12,-5,-2,372,10.67,20.24,520,8.36,3.27,2.3,0.8,92.6,8.37,8.3,228,,,,,,,,,,,16.2,956,9.38,67,1.2,1.2,1.9,278,0,0,601.2,0.96,20.6,959.8,552.4,0.84,22.4,961.3
